Age,Gender,Daily_Steps,Calories_Consumed,Sleep_Hours,Water_Intake_Liters,Stress_Level,Exercise_Hours,BMI,Healthy_Lifestyle_Score
56,Male,9540,2500,6.9,2.8,Low,1.5,20.8,9
46,Female,3456,2146,5.4,2.8,Medium,0,24.3,4
32,Male,6729,2664,6,1.7,Low,0.5,22.1,5
60,Male,10348,2093,7.9,3.7,Medium,1.16,25.1,7
25,Male,6334,2046,6.1,1.7,Low,0.11,16.4,2
38,Male,9924,2615,3.8,2.2,High,0,22.3,4
56,Male,5330,2658,8.8,3,Medium,0,25.9,4
36,Female,7801,3420,4.9,2,Medium,1.62,26.3,5
40,Female,3846,2868,4.5,2.8,Low,0,31.5,1
28,Female,7731,2633,3.9,2.3,Low,0.5,20.3,7
28,Male,6368,2341,5.3,2.9,Medium,0.37,24.4,7
41,Female,11337,3010,8.2,3,Low,2.32,22.6,9
53,Female,9539,2923,6.2,2.4,Medium,1.16,21.6,9
57,Female,8056,2024,5.6,2.5,High,0.5,23.7,8
41,Female,12516,2731,7.6,2.2,Low,1,24.1,7
20,Female,12493,1312,7.1,3.9,Medium,2.03,16.9,2
39,Male,2542,3387,8.7,3.2,High,0,29.5,2
19,Male,4964,2800,6,3,High,0.5,25.3,4
41,Female,8575,2248,8.8,3.3,Medium,0.98,20.4,9
61,Female,7313,2037,4.7,3.9,Low,1.5,18.8,7
47,Male,8924,1853,6.4,3.7,Medium,1.33,19.6,8
55,Female,4807,1519,5.3,3.2,High,0,17.4,6
19,Male,10580,2773,6.7,3.2,Medium,1.65,21.2,9
38,Female,11749,3028,4.8,1.4,Low,0.36,22.7,7
50,Male,9691,3117,8.2,1.3,High,0,34.1,1
29,Female,8494,2338,8.2,2.7,Medium,0.19,24.7,6
39,Male,5312,3226,8.8,1.1,Low,0.5,30.9,2
61,Male,2324,3101,4.8,2.4,High,2.33,27.7,1
42,Male,4141,1889,7.1,1.6,Low,0.63,17.6,5
44,Male,2810,3239,6.4,2,High,0.2,29,2
59,Female,7588,2609,5.7,3.3,Medium,2.06,24.2,8
45,Male,3301,1460,5.8,2.8,Low,1.24,23.2,8
33,Male,6485,3142,6.1,1.2,High,0.97,24.9,8
32,Female,12714,3073,7.5,2.6,Low,1.13,21.7,8
64,Male,5748,3419,7,3.6,Low,0.57,24.6,8
61,Female,10435,2660,6.3,1.2,Medium,2.22,26,5
20,Male,4709,2391,4.4,3.5,Low,1.13,18.1,5
54,Female,14116,2819,4.4,2.1,Medium,1,20,8
24,Male,10576,1520,4,2,High,0.26,25.8,7
38,Male,8150,2542,8.8,3.9,High,2.47,21.7,8
26,Male,7530,2836,4,1.6,High,1.11,21.6,7
56,Male,9188,2694,4.5,3.1,Medium,0.12,20.1,5
35,Male,10683,3043,5.6,3.5,Low,0.1,24.4,7
21,Female,3504,3238,8,1.1,Medium,0,31,1
42,Male,2214,2318,8.8,3,Low,1.65,23.1,9
31,Female,8531,2404,8,3.9,Low,2.01,23.7,9
26,Male,7823,3035,7.5,1.4,Low,0.26,29.1,3
43,Male,11312,2869,4.6,3.7,High,0.09,21.7,7
19,Female,3029,2133,4.4,2.8,High,0.27,33.3,1
37,Male,10428,3108,8.8,2.8,Medium,0.97,27.1,4
45,Male,8517,1575,7.8,2.8,High,0.6,25.9,6
64,Male,3105,2760,7.2,1.9,High,2.48,27.7,4
24,Male,9627,2770,7.8,3.8,Low,2.43,21.2,8
61,Female,3972,2519,3.6,3.8,Medium,2.36,28.6,3
25,Female,2852,1999,7.2,2.9,High,1.96,24.5,9
64,Male,2910,4010,10.9,3.4,Medium,0,33.3,1
52,Female,10003,2072,8.5,2.8,Medium,1.03,21.3,9
31,Male,8843,2452,7.2,2.5,Low,1.37,26.9,5
34,Female,3704,2851,5.5,3,High,2.08,28.4,3
53,Female,8961,1914,4.3,2.7,Low,0.17,19.1,6
57,Female,7190,1924,7.3,2.8,Low,1.06,24.5,8
21,Female,8640,2852,4.2,3.4,High,0.21,30.6,1
19,Female,6645,1677,6.9,2.4,High,1.29,24,8
23,Male,10588,2531,9,1.1,Medium,1.25,23.7,8
59,Female,2029,1900,6.8,1.5,High,0.25,31.7,1
21,Female,4053,2972,6.4,2.3,Medium,0.57,34.5,1
46,Female,4330,2065,5.6,3.2,Medium,20.44,32.6,1
35,Male,9662,3336,4.6,2.8,Medium,1.67,20.4,6
43,Female,8114,3063,7.7,3,High,0.03,30.7,1
61,Female,14323,2518,5,2.4,Low,0.64,23.8,9
51,Female,3053,1815,4.6,2.8,Medium,0.65,34.8,1
